STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408019378 GHz,
TABLE,Region T_Newton_Padrao_10,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.026537,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,2875270
CPU_CLK_UNHALTED_CORE,FIXC1,3625937
CPU_CLK_UNHALTED_REF,FIXC2,3266852
L2_TRANS_ALL_REQUESTS,PMC0,427462
L2_RQSTS_MISS,PMC1,112625
TABLE,Region T_Newton_Padrao_10,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0265,
Runtime unhalted [s],0.0011,
Clock [MHz],3782.6212,
CPI,1.2611,
L2 request rate,0.1487,
L2 miss rate,0.0392,
L2 miss ratio,0.2635,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408019378 GHz,
TABLE,Region Tderi_grad_Padrao_10,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000031,
call count,50,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,308229
CPU_CLK_UNHALTED_CORE,FIXC1,507550
CPU_CLK_UNHALTED_REF,FIXC2,459654
L2_TRANS_ALL_REQUESTS,PMC0,65421
L2_RQSTS_MISS,PMC1,16910
TABLE,Region Tderi_grad_Padrao_10,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],3.126702e-05,
Runtime unhalted [s],0.0001,
Clock [MHz],3763.1354,
CPI,1.6467,
L2 request rate,0.2122,
L2 miss rate,0.0549,
L2 miss ratio,0.2585,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408019378 GHz,
TABLE,Region Tderi_hes_padrao_10,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000267,
call count,50,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1399435
CPU_CLK_UNHALTED_CORE,FIXC1,1397513
CPU_CLK_UNHALTED_REF,FIXC2,1252724
L2_TRANS_ALL_REQUESTS,PMC0,67143
L2_RQSTS_MISS,PMC1,16964
TABLE,Region Tderi_hes_padrao_10,Group 1 Metric,L2CACHE,7
Metric,Core 3,
Runtime (RDTSC) [s],0.0003,
Runtime unhalted [s],0.0004,
Clock [MHz],3801.9160,
CPI,0.9986,
L2 request rate,0.0480,
L2 miss rate,0.0121,
L2 miss ratio,0.2527,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.408019378 GHz,
TABLE,Region T_Sist_Lin_Padrao_10,Group 1 Raw,L2CACHE,5
Region Info,Core 3,
RDTSC Runtime [s],0.000025,
call count,50,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,394274
CPU_CLK_UNHALTED_CORE,FIXC1,475289
CPU_CLK_UNHALTED_REF,FIXC2,431112
