STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407774731 GHz,
TABLE,Region T_Newton_Padrao_10,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.026915,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,2879913
CPU_CLK_UNHALTED_CORE,FIXC1,3723971
CPU_CLK_UNHALTED_REF,FIXC2,3339982
L2_LINES_IN_ALL,PMC0,122490
L2_TRANS_L2_WB,PMC1,7618
TABLE,Region T_Newton_Padrao_10,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],0.0269,
Runtime unhalted [s],0.0011,
Clock [MHz],3799.5577,
CPI,1.2931,
L3 load bandwidth [MBytes/s],291.2608,
L3 load data volume [GBytes],0.0078,
L3 evict bandwidth [MBytes/s],18.1143,
L3 evict data volume [GBytes],0.0005,
L3 bandwidth [MBytes/s],309.3751,
L3 data volume [GBytes],0.0083,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407774731 GHz,
TABLE,Region Tderi_grad_Padrao_10,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.000032,
call count,50,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,311012
CPU_CLK_UNHALTED_CORE,FIXC1,532977
CPU_CLK_UNHALTED_REF,FIXC2,479392
L2_LINES_IN_ALL,PMC0,18173
L2_TRANS_L2_WB,PMC1,1117
TABLE,Region Tderi_grad_Padrao_10,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],3.150527e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],3788.6856,
CPI,1.7137,
L3 load bandwidth [MBytes/s],36916.7444,
L3 load data volume [GBytes],0.0012,
L3 evict bandwidth [MBytes/s],2269.0807,
L3 evict data volume [GBytes],0.0001,
L3 bandwidth [MBytes/s],39185.8251,
L3 data volume [GBytes],0.0012,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407774731 GHz,
TABLE,Region Tderi_hes_padrao_10,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.000270,
call count,50,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1399225
CPU_CLK_UNHALTED_CORE,FIXC1,1432434
CPU_CLK_UNHALTED_REF,FIXC2,1283822
L2_LINES_IN_ALL,PMC0,19000
L2_TRANS_L2_WB,PMC1,1116
TABLE,Region Tderi_hes_padrao_10,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],0.0003,
Runtime unhalted [s],0.0004,
Clock [MHz],3802.2501,
CPI,1.0237,
L3 load bandwidth [MBytes/s],4500.0870,
L3 load data volume [GBytes],0.0012,
L3 evict bandwidth [MBytes/s],264.3209,
L3 evict data volume [GBytes],0.0001,
L3 bandwidth [MBytes/s],4764.4079,
L3 data volume [GBytes],0.0013,
STRUCT,Info,3
