STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region T_Newton_Padrao_10,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.055967,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2927606
CPU_CLK_UNHALTED_CORE,FIXC1,3206671
CPU_CLK_UNHALTED_REF,FIXC2,3209900
PWR_PKG_ENERGY,PWR0,0.2651
PWR_DRAM_ENERGY,PWR3,0.0321
UNCORE_CLOCK,UBOXFIX,284108
TABLE,Region T_Newton_Padrao_10,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0560,
Runtime unhalted [s],0.0013,
Clock [MHz],2396.9723,
Uncore Clock [MHz],5.0764,
CPI,1.0953,
Energy [J],0.2651,
Power [W],4.7374,
Energy DRAM [J],0.0321,
Power DRAM [W],0.5736,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region Tderi_grad_Padrao_10,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000046,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,316150
CPU_CLK_UNHALTED_CORE,FIXC1,447804
CPU_CLK_UNHALTED_REF,FIXC2,449800
PWR_PKG_ENERGY,PWR0,0.0463
PWR_DRAM_ENERGY,PWR3,0.0057
UNCORE_CLOCK,UBOXFIX,57946
TABLE,Region Tderi_grad_Padrao_10,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],4.589780e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2388.7386,
Uncore Clock [MHz],1262.5006,
CPI,1.4164,
Energy [J],0.0463,
Power [W],1009.3225,
Energy DRAM [J],0.0057,
Power DRAM [W],123.6719,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399385977 GHz,
TABLE,Region Tderi_hes_padrao_10,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000410,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1374484
CPU_CLK_UNHALTED_CORE,FIXC1,1325863
CPU_CLK_UNHALTED_REF,FIXC2,1328500
PWR_PKG_ENERGY,PWR0,0.0408
PWR_DRAM_ENERGY,PWR3,0.0049
UNCORE_CLOCK,UBOXFIX,52852
TABLE,Region Tderi_hes_padrao_10,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0006,
Clock [MHz],2394.6233,
Uncore Clock [MHz],128.8924,
CPI,0.9646,
Energy [J],0.0408,
Power [W],99.5800,
Energy DRAM [J],0.0049,
Power DRAM [W],12.0568,
