STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.39751412 GHz,
TABLE,Region T_Newton_Padrao_10,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.043104,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2898201
CPU_CLK_UNHALTED_CORE,FIXC1,3236406
CPU_CLK_UNHALTED_REF,FIXC2,3243400
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,82110
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,5900
TABLE,Region T_Newton_Padrao_10,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0431,
Runtime unhalted [s],0.0013,
Clock [MHz],2392.3442,
CPI,1.1167,
DP [MFLOP/s],2.4524,
AVX DP [MFLOP/s],0.5475,
Packed [MUOPS/s],0.1369,
Scalar [MUOPS/s],1.9049,
Vectorization ratio,6.7038,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.39751412 GHz,
TABLE,Region Tderi_grad_Padrao_10,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000046,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,313971
CPU_CLK_UNHALTED_CORE,FIXC1,456922
CPU_CLK_UNHALTED_REF,FIXC2,457200
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,9450
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region Tderi_grad_Padrao_10,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],4.564781e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2396.0563,
CPI,1.4553,
DP [MFLOP/s],207.0198,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],207.0198,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.39751412 GHz,
TABLE,Region Tderi_hes_padrao_10,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000410,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1371846
CPU_CLK_UNHALTED_CORE,FIXC1,1328858
CPU_CLK_UNHALTED_REF,FIXC2,1333200
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,43650
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
