STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399286791 GHz,
TABLE,Region T_Newton_Padrao_NOpt_10,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.038283,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2875884
CPU_CLK_UNHALTED_CORE,FIXC1,3171962
CPU_CLK_UNHALTED_REF,FIXC2,3183000
L2_TRANS_ALL_REQUESTS,PMC0,393068
L2_RQSTS_MISS,PMC1,85946
TABLE,Region T_Newton_Padrao_NOpt_10,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0383,
Runtime unhalted [s],0.0013,
Clock [MHz],2390.9665,
CPI,1.1030,
L2 request rate,0.1367,
L2 miss rate,0.0299,
L2 miss ratio,0.2187,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399286791 GHz,
TABLE,Region Tderi_grad_Padrao_NOpt_10,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000046,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,318219
CPU_CLK_UNHALTED_CORE,FIXC1,445852
CPU_CLK_UNHALTED_REF,FIXC2,448000
L2_TRANS_ALL_REQUESTS,PMC0,62880
L2_RQSTS_MISS,PMC1,13581
TABLE,Region Tderi_grad_Padrao_NOpt_10,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],4.572109e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2387.7831,
CPI,1.4011,
L2 request rate,0.1976,
L2 miss rate,0.0427,
L2 miss ratio,0.2160,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399286791 GHz,
TABLE,Region Tderi_hes_Padrao_NOpt_10,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000409,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1375304
CPU_CLK_UNHALTED_CORE,FIXC1,1314950
CPU_CLK_UNHALTED_REF,FIXC2,1320000
L2_TRANS_ALL_REQUESTS,PMC0,65415
L2_RQSTS_MISS,PMC1,13845
TABLE,Region Tderi_hes_Padrao_NOpt_10,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0005,
Clock [MHz],2390.1077,
CPI,0.9561,
L2 request rate,0.0476,
L2 miss rate,0.0101,
L2 miss ratio,0.2116,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399286791 GHz,
