STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399644367 GHz,
TABLE,Region T_Newton_Padrao_10,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.038467,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2861025
CPU_CLK_UNHALTED_CORE,FIXC1,3280704
CPU_CLK_UNHALTED_REF,FIXC2,3293800
L2_LINES_IN_ALL,PMC0,84878
L2_TRANS_L2_WB,PMC1,7741
TABLE,Region T_Newton_Padrao_10,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0385,
Runtime unhalted [s],0.0014,
Clock [MHz],2390.1035,
CPI,1.1467,
L3 load bandwidth [MBytes/s],141.2154,
L3 load data volume [GBytes],0.0054,
L3 evict bandwidth [MBytes/s],12.8791,
L3 evict data volume [GBytes],0.0005,
L3 bandwidth [MBytes/s],154.0945,
L3 data volume [GBytes],0.0059,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399644367 GHz,
TABLE,Region Tderi_grad_Padrao_10,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000046,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,309023
CPU_CLK_UNHALTED_CORE,FIXC1,454732
CPU_CLK_UNHALTED_REF,FIXC2,460200
L2_LINES_IN_ALL,PMC0,11475
L2_TRANS_L2_WB,PMC1,817
TABLE,Region Tderi_grad_Padrao_10,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],4.589224e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2371.1323,
CPI,1.4715,
L3 load bandwidth [MBytes/s],16002.7055,
L3 load data volume [GBytes],0.0007,
L3 evict bandwidth [MBytes/s],1139.3647,
L3 evict data volume [GBytes],0.0001,
L3 bandwidth [MBytes/s],17142.0702,
L3 data volume [GBytes],0.0008,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399644367 GHz,
TABLE,Region Tderi_hes_padrao_10,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000410,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1364376
CPU_CLK_UNHALTED_CORE,FIXC1,1331504
CPU_CLK_UNHALTED_REF,FIXC2,1334000
L2_LINES_IN_ALL,PMC0,13716
L2_TRANS_L2_WB,PMC1,1149
TABLE,Region Tderi_hes_padrao_10,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0006,
Clock [MHz],2395.1545,
CPI,0.9759,
L3 load bandwidth [MBytes/s],2142.4659,
L3 load data volume [GBytes],0.0009,
L3 evict bandwidth [MBytes/s],179.4760,
