METODO; GRAD; HESS; SISTLIN
0.4905; 0; 0; 514.2857
19.7020; 0; 0; 2331.6072
73.5274; 0; 0; 3408.3108
131.0532; 0; 0; 4002.5249
340.9836; 0; 0; 4122.9381
534.4113; 0; 0; 4606.6047
1003.6816; 0; 0; 4938.1430
1276.7874; 0; 0; 4961.4821
1308.9611; 0; 0; 4986.3316
1509.1121; 0; 0; 4963.1009
1884.5621; 0; 0; 4953.0376
2206.5731; 0; 0; 4919.2416
2372.1661; 0; 0; 4746.8222
2286.3841; 0; 0; 3187.6806
2267.7343; 0; 0; 3122.8414
2001.2322; 0; 0; 2280.9933
2059.9454; 0; 0; 2348.9226
2046.8593; 0; 0; 2232.7750
2037.7103; 0; 0; 2169.6837
