METODO; GRAD; HESS; SISTLIN
0.055636; 0.000047; 0.000409; 0.000043
0.061787; 0.000141; 0.004181; 0.000199
0.061163; 0.000208; 0.010305; 0.000378
0.072827; 0.000264; 0.016801; 0.000589
0.098573; 0.000411; 0.041088; 0.001343
0.125240; 0.000523; 0.066965; 0.002177
0.225818; 0.000820; 0.163233; 0.005679
0.320667; 0.001020; 0.254837; 0.009206
0.332760; 0.001045; 0.266667; 0.009603
0.436407; 0.001225; 0.366146; 0.013400
0.732626; 0.001632; 0.650651; 0.024658
1.168036; 0.002094; 1.066349; 0.042851
1.581087; 0.002435; 1.462965; 0.059368
4.290171; 0.004054; 4.057760; 0.171397
4.496143; 0.004156; 4.254454; 0.180503
16.996250; 0.008102; 16.220810; 0.709041
17.817190; 0.008297; 17.009520; 0.741536
38.160130; 0.012148; 36.493790; 1.594843
71.089100; 0.016596; 68.037750; 2.974020
