METODO; GRAD; HESS; SISTLIN
0.055967; 0.000046; 0.000410; 0.000039
0.064811; 0.000141; 0.004388; 0.000440
0.070484; 0.000216; 0.010403; 0.001167
0.076968; 0.000269; 0.016776; 0.002143
0.107821; 0.000418; 0.041226; 0.007557
0.141405; 0.000529; 0.067287; 0.014734
0.273196; 0.000822; 0.163151; 0.052881
0.414484; 0.001028; 0.254614; 0.102728
0.436684; 0.001048; 0.266825; 0.111944
0.603516; 0.001225; 0.366910; 0.178970
1.136816; 0.001629; 0.650304; 0.428261
2.048030; 0.002085; 1.065052; 0.923620
3.117496; 0.002450; 1.464152; 1.592333
15.181540; 0.004081; 4.058418; 11.058820
16.565410; 0.004182; 4.257875; 12.243000
137.591100; 0.008143; 16.221030; 121.300100
147.119700; 0.008325; 17.011080; 130.038600
464.514400; 0.012157; 36.500440; 427.939700
1169.944000; 0.016586; 68.038300; 1101.826000
