METODO; GRAD; HESS; SISTLIN
2.8729; 297.1502; 161.9610; 794.8521
19.8578; 325.0900; 151.4004; 1778.7330
41.7370; 343.6578; 152.3955; 2144.0955
63.8117; 339.2157; 150.0886; 2172.1084
106.1374; 354.1646; 152.2166; 2422.1710
132.6715; 355.2103; 151.8910; 2427.1556
172.8399; 354.3730; 151.4702; 2299.7568
187.6014; 355.6733; 151.5518; 2225.2090
188.8084; 355.5001; 151.7172; 2199.1119
196.1804; 356.2316; 151.6077; 2142.2662
205.8076; 352.9363; 151.7005; 2082.3822
210.8853; 359.2409; 151.6567; 2047.8363
212.8041; 354.4937; 151.4769; 2021.4462
216.7788; 359.6106; 151.7574; 1916.6421
216.8635; 361.2376; 151.7561; 1911.1765
218.5024; 361.4196; 151.8877; 1880.3433
218.5361; 359.7565; 151.9065; 1874.6067
218.7723; 361.0869; 151.9101; 1866.3649
218.8636; 360.9096; 151.9148; 1862.9434
