METODO; GRAD; HESS; SISTLIN
0.2635; 0.2585; 0.2527; 0.2554
0.2678; 0.2485; 0.2675; 0.2497
0.2610; 0.2547; 0.2622; 0.2253
0.1950; 0.2576; 0.2379; 0.1078
0.0404; 0.2517; 0.2488; 0.0148
0.0334; 0.2563; 0.2648; 0.0167
0.0911; 0.2630; 0.2711; 0.0854
0.1996; 0.2620; 0.2651; 0.1985
0.2057; 0.2708; 0.2636; 0.2048
0.2260; 0.2739; 0.2604; 0.2256
0.2402; 0.2825; 0.2576; 0.2400
0.2465; 0.2753; 0.2559; 0.2464
0.2479; 0.2806; 0.2549; 0.2478
0.2500; 0.2863; 0.2473; 0.2500
0.2452; 0.2850; 0.2469; 0.2452
0.2149; 0.2844; 0.2490; 0.2148
0.2091; 0.2808; 0.2491; 0.2091
0.1895; 0.2835; 0.2497; 0.1895
0.1831; 0.2952; 0.2501; 0.1831
