METODO; GRAD; HESS; SISTLIN
292.2637; 39810.8384; 4596.6667; 41185.5369
315.3259; 14540.8065; 664.9601; 16356.2105
301.1809; 10024.8049; 321.5990; 8960.8927
318.0175; 7950.7460; 243.0267; 7390.5801
304.9975; 5042.3572; 198.6087; 5854.0632
358.8817; 3797.8663; 221.2718; 7279.3107
485.9671; 2871.8572; 237.5632; 9587.4911
549.3659; 2564.0769; 256.2715; 10368.3388
546.5891; 2275.1986; 254.5939; 10281.5122
556.9306; 2075.1945; 265.3492; 9692.0429
565.0643; 1491.1430; 275.6779; 9004.4051
571.9447; 1407.5541; 282.5735; 8643.5380
574.8642; 1250.4389; 284.4891; 8521.7808
713.5337; 912.3715; 293.7066; 11379.8858
723.9969; 958.9842; 294.0127; 11632.9091
854.0754; 751.8986; 297.5574; 14646.4418
859.1686; 656.7196; 297.4249; 14763.8919
864.4289; 578.5318; 298.1031; 14779.2720
868.7424; 502.8007; 298.4512; 14855.3036
