STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.398463623 GHz,
TABLE,Region T_Newton_Padrao_10,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.055928,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2866773
CPU_CLK_UNHALTED_CORE,FIXC1,3229798
CPU_CLK_UNHALTED_REF,FIXC2,3242800
PWR_PKG_ENERGY,PWR0,0.2673
PWR_DRAM_ENERGY,PWR3,0.0315
UNCORE_CLOCK,UBOXFIX,282963
TABLE,Region T_Newton_Padrao_10,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0559,
Runtime unhalted [s],0.0013,
Clock [MHz],2388.8470,
Uncore Clock [MHz],5.0594,
CPI,1.1266,
Energy [J],0.2673,
Power [W],4.7799,
Energy DRAM [J],0.0315,
Power DRAM [W],0.5631,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.398463623 GHz,
TABLE,Region Tderi_grad_Padrao_10,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000047,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,320273
CPU_CLK_UNHALTED_CORE,FIXC1,457291
CPU_CLK_UNHALTED_REF,FIXC2,458000
PWR_PKG_ENERGY,PWR0,0.0385
PWR_DRAM_ENERGY,PWR3,0.0043
UNCORE_CLOCK,UBOXFIX,51140
TABLE,Region Tderi_grad_Padrao_10,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],4.739503e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2394.7507,
Uncore Clock [MHz],1079.0161,
CPI,1.4278,
Energy [J],0.0385,
Power [W],811.3119,
Energy DRAM [J],0.0043,
Power DRAM [W],91.4336,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.398463623 GHz,
TABLE,Region Tderi_hes_padrao_10,Group 1 Raw,CLOCK,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000407,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1356700
CPU_CLK_UNHALTED_CORE,FIXC1,1316464
CPU_CLK_UNHALTED_REF,FIXC2,1321400
PWR_PKG_ENERGY,PWR0,0.0576
PWR_DRAM_ENERGY,PWR3,0.0056
UNCORE_CLOCK,UBOXFIX,55860
TABLE,Region Tderi_hes_padrao_10,Group 1 Metric,CLOCK,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0005,
Clock [MHz],2389.5043,
Uncore Clock [MHz],137.3185,
CPI,0.9703,
Energy [J],0.0576,
Power [W],141.6382,
Energy DRAM [J],0.0056,
Power DRAM [W],13.8037,
