STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399785981 GHz,
TABLE,Region T_Newton_Padrao_10,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.043175,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2846554
CPU_CLK_UNHALTED_CORE,FIXC1,3188471
CPU_CLK_UNHALTED_REF,FIXC2,3195200
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,82110
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,5900
TABLE,Region T_Newton_Padrao_10,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0432,
Runtime unhalted [s],0.0013,
Clock [MHz],2394.7321,
CPI,1.1201,
DP [MFLOP/s],2.4484,
AVX DP [MFLOP/s],0.5466,
Packed [MUOPS/s],0.1367,
Scalar [MUOPS/s],1.9018,
Vectorization ratio,6.7038,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399785981 GHz,
TABLE,Region Tderi_grad_Padrao_10,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000046,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,314719
CPU_CLK_UNHALTED_CORE,FIXC1,446725
CPU_CLK_UNHALTED_REF,FIXC2,448800
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,9450
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region Tderi_grad_Padrao_10,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],4.574131e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2388.6907,
CPI,1.4194,
DP [MFLOP/s],206.5966,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],206.5966,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399785981 GHz,
TABLE,Region Tderi_hes_padrao_10,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000405,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1354300
CPU_CLK_UNHALTED_CORE,FIXC1,1301234
CPU_CLK_UNHALTED_REF,FIXC2,1304100
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,43650
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
