STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399170351 GHz,
TABLE,Region T_Newton_Padrao_10,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.038301,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2809702
CPU_CLK_UNHALTED_CORE,FIXC1,3276097
CPU_CLK_UNHALTED_REF,FIXC2,3284200
L2_TRANS_ALL_REQUESTS,PMC0,401020
L2_RQSTS_MISS,PMC1,95078
TABLE,Region T_Newton_Padrao_10,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0383,
Runtime unhalted [s],0.0014,
Clock [MHz],2393.2510,
CPI,1.1660,
L2 request rate,0.1427,
L2 miss rate,0.0338,
L2 miss ratio,0.2371,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399170351 GHz,
TABLE,Region Tderi_grad_Padrao_10,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000047,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,310058
CPU_CLK_UNHALTED_CORE,FIXC1,463340
CPU_CLK_UNHALTED_REF,FIXC2,465300
L2_TRANS_ALL_REQUESTS,PMC0,60309
L2_RQSTS_MISS,PMC1,14171
TABLE,Region Tderi_grad_Padrao_10,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],4.662615e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2389.0642,
CPI,1.4944,
L2 request rate,0.1945,
L2 miss rate,0.0457,
L2 miss ratio,0.2350,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399170351 GHz,
TABLE,Region Tderi_hes_padrao_10,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000407,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1349546
CPU_CLK_UNHALTED_CORE,FIXC1,1324621
CPU_CLK_UNHALTED_REF,FIXC2,1325700
L2_TRANS_ALL_REQUESTS,PMC0,65645
L2_RQSTS_MISS,PMC1,15745
TABLE,Region Tderi_hes_padrao_10,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0006,
Clock [MHz],2397.2176,
CPI,0.9815,
L2 request rate,0.0486,
L2 miss rate,0.0117,
L2 miss ratio,0.2399,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399170351 GHz,
TABLE,Region T_Sist_Lin_Padrao_10,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000036,
