STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399820847 GHz,
TABLE,Region T_Newton_Padrao_10,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.038296,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2812862
CPU_CLK_UNHALTED_CORE,FIXC1,3214783
CPU_CLK_UNHALTED_REF,FIXC2,3219300
L2_LINES_IN_ALL,PMC0,87122
L2_TRANS_L2_WB,PMC1,7402
TABLE,Region T_Newton_Padrao_10,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0383,
Runtime unhalted [s],0.0013,
Clock [MHz],2396.4537,
CPI,1.1429,
L3 load bandwidth [MBytes/s],145.5975,
L3 load data volume [GBytes],0.0056,
L3 evict bandwidth [MBytes/s],12.3702,
L3 evict data volume [GBytes],0.0005,
L3 bandwidth [MBytes/s],157.9677,
L3 data volume [GBytes],0.0060,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399820847 GHz,
TABLE,Region Tderi_grad_Padrao_10,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000046,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,309881
CPU_CLK_UNHALTED_CORE,FIXC1,447741
CPU_CLK_UNHALTED_REF,FIXC2,447900
L2_LINES_IN_ALL,PMC0,13683
L2_TRANS_L2_WB,PMC1,1211
TABLE,Region Tderi_grad_Padrao_10,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],4.610792e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2398.9689,
CPI,1.4449,
L3 load bandwidth [MBytes/s],18992.6590,
L3 load data volume [GBytes],0.0009,
L3 evict bandwidth [MBytes/s],1680.9260,
L3 evict data volume [GBytes],0.0001,
L3 bandwidth [MBytes/s],20673.5849,
L3 data volume [GBytes],0.0010,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i3-7100U CPU @ 2.40GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.399820847 GHz,
TABLE,Region Tderi_hes_padrao_10,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000405,
call count,50,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1349922
CPU_CLK_UNHALTED_CORE,FIXC1,1305721
CPU_CLK_UNHALTED_REF,FIXC2,1307200
L2_LINES_IN_ALL,PMC0,13262
L2_TRANS_L2_WB,PMC1,1197
TABLE,Region Tderi_hes_padrao_10,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0004,
Runtime unhalted [s],0.0005,
Clock [MHz],2397.1056,
CPI,0.9673,
L3 load bandwidth [MBytes/s],2096.8661,
L3 load data volume [GBytes],0.0008,
L3 evict bandwidth [MBytes/s],189.2587,
