METODO; GRAD; HESS; SISTLIN
0.7963; 0; 0; 923.5773
28.1860; 0; 0; 4377.5630
100.1992; 0; 0; 5980.1323
189.1287; 0; 0; 7230.3478
521.1958; 0; 0; 7525.1234
810.9940; 0; 0; 7809.9483
1558.1720; 0; 0; 8497.3389
1978.6837; 0; 0; 8246.7540
2012.6005; 0; 0; 8009.3419
2356.2013; 0; 0; 8189.6726
2969.4819; 0; 0; 8186.6918
3508.0612; 0; 0; 8158.9604
3912.2484; 0; 0; 8419.0449
4040.0397; 0; 0; 5972.2744
3823.3374; 0; 0; 5453.2446
2362.8257; 0; 0; 2606.1575
2222.6042; 0; 0; 2431.0576
2117.3280; 0; 0; 2242.0175
1958.9963; 0; 0; 2035.6219
