METODO; GRAD; HESS; SISTLIN
0.031596; 0.000033; 0.000266; 0.000032
0.034378; 0.000090; 0.002692; 0.000124
0.038352; 0.000137; 0.006569; 0.000240
0.040644; 0.000174; 0.010742; 0.000371
0.058613; 0.000267; 0.026289; 0.000847
0.076360; 0.000341; 0.043309; 0.001363
0.140728; 0.000537; 0.105277; 0.003552
0.202074; 0.000665; 0.164411; 0.005656
0.210437; 0.000682; 0.172278; 0.005977
0.277110; 0.000795; 0.236343; 0.008381
0.469219; 0.001058; 0.420993; 0.015383
0.746926; 0.001362; 0.688118; 0.025656
1.014314; 0.001579; 0.945090; 0.035815
2.759657; 0.002627; 2.620055; 0.104475
2.893206; 0.002695; 2.747551; 0.110728
10.933310; 0.005246; 10.468890; 0.426202
11.464910; 0.005407; 10.974650; 0.451263
24.550120; 0.007870; 23.542590; 0.965432
45.741010; 0.010778; 43.885400; 1.810544
