METODO; GRAD; HESS; SISTLIN
0.030101; 0.000033; 0.000266; 0.000026
0.035090; 0.000092; 0.002752; 0.000225
0.039489; 0.000140; 0.006701; 0.000635
0.044258; 0.000176; 0.010939; 0.001263
0.062571; 0.000273; 0.026898; 0.004313
0.084096; 0.000344; 0.043457; 0.008693
0.169804; 0.000537; 0.105616; 0.032157
0.259796; 0.000665; 0.164999; 0.062630
0.274983; 0.000683; 0.172781; 0.069762
0.378609; 0.000796; 0.237037; 0.109146
0.712613; 0.001059; 0.421219; 0.258587
1.266541; 0.001353; 0.688844; 0.544809
1.829240; 0.001583; 0.946173; 0.849698
8.368454; 0.002697; 2.622135; 5.709406
9.185695; 0.002744; 2.751095; 6.397270
113.044600; 0.005278; 10.480130; 102.523800
129.829300; 0.005440; 10.985060; 118.803300
426.559100; 0.007954; 23.564380; 402.948100
1164.003000; 0.010861; 43.921530; 1120.027000
