METODO; GRAD; HESS; SISTLIN
2.0649; 204.2594; 107.5477; 564.0184
14.5429; 223.2156; 102.3022; 1157.4661
29.4590; 215.3318; 100.7890; 1355.9163
41.8965; 224.6297; 100.5937; 1448.8821
73.6364; 230.3794; 100.0660; 1520.2289
90.4046; 230.9304; 99.4686; 1507.0350
116.6656; 229.2178; 99.8194; 1441.7667
125.3242; 231.1453; 99.8519; 1392.4741
125.6534; 230.8718; 99.6779; 1374.0317
130.3907; 231.4038; 99.7900; 1345.3006
135.9467; 228.0631; 99.7326; 1305.3678
138.7248; 232.0421; 99.7019; 1220.6929
140.0073; 232.0181; 99.6884; 1217.0476
142.0647; 232.5563; 99.6769; 1160.0098
142.0694; 232.5695; 99.7123; 1134.1467
142.9228; 232.0114; 99.6730; 1130.7655
142.9293; 232.2541; 99.6730; 1129.1818
143.0733; 233.0605; 99.6490; 1132.7064
143.0648; 232.8399; 99.6139; 1129.1953
