METODO; GRAD; HESS; SISTLIN
3.5667; 295.0258; 163.1067; 1772.9385
48.2077; 337.8920; 154.4076; 5419.6884
142.3574; 344.6540; 153.1584; 6832.6232
250.0188; 347.7026; 152.9652; 8038.2231
625.0080; 353.2074; 151.6095; 8051.8586
935.4680; 355.7690; 152.3441; 8233.5788
1708.6822; 355.8974; 152.4850; 8789.3030
2130.4618; 355.9278; 151.8787; 8471.7939
2163.4693; 356.9289; 152.1909; 8223.4898
2506.4162; 352.3464; 152.6084; 8376.1413
3110.7602; 359.3632; 152.2629; 8326.0750
3638.0258; 360.9218; 152.4533; 8267.2728
4035.7210; 358.1924; 152.4571; 8514.3204
4116.2405; 357.7047; 152.6525; 6012.7301
3893.7506; 356.0279; 152.6007; 5489.3157
2385.0428; 354.1408; 152.7798; 2614.9688
2243.0116; 356.4395; 152.7831; 2439.0839
2130.5875; 356.7979; 152.8190; 2247.0679
1967.9768; 358.0265; 152.8306; 2038.9794
