METODO; GRAD; HESS; SISTLIN
0.2371; 0.2350; 0.2399; 0.2455
0.2496; 0.2386; 0.2415; 0.2403
0.2568; 0.2576; 0.2715; 0.2165
0.2156; 0.2492; 0.2725; 0.1348
0.0469; 0.2437; 0.2743; 0.0173
0.0405; 0.2526; 0.2756; 0.0256
0.1546; 0.2651; 0.2755; 0.1517
0.1996; 0.2511; 0.2698; 0.1986
0.2000; 0.2519; 0.2685; 0.1992
0.2173; 0.2491; 0.2665; 0.2168
0.2317; 0.2680; 0.2589; 0.2315
0.2147; 0.2692; 0.2571; 0.2145
0.2362; 0.2587; 0.2590; 0.2361
0.2282; 0.2679; 0.2535; 0.2282
0.2192; 0.2741; 0.2537; 0.2191
0.2090; 0.2872; 0.2562; 0.2090
0.1993; 0.2775; 0.2700; 0.1992
0.1941; 0.2997; 0.2521; 0.1940
0.1867; 0.2793; 0.2518; 0.1867
