METODO; GRAD; HESS; SISTLIN
145.7557; 19262.5643; 2181.3703; 21018.9646
189.4051; 7849.4763; 402.9001; 8235.7442
183.2867; 4675.4112; 216.1000; 5598.2004
191.1785; 3582.5670; 184.5903; 4646.7408
207.7566; 2550.4878; 141.1289; 4105.9053
227.5047; 2128.2079; 139.6215; 4135.2457
326.2012; 1453.1246; 159.5525; 6120.3409
348.3418; 1202.9228; 166.0127; 6121.4924
350.6306; 1242.4441; 168.0318; 6087.5931
363.8595; 1121.6065; 168.4905; 6102.6853
404.2678; 1181.7630; 169.8836; 6732.6970
454.5106; 1014.3308; 164.7573; 7384.3212
476.9061; 944.7470; 164.3693; 7905.9228
524.4164; 586.7463; 177.8631; 8820.9453
510.6111; 616.8462; 167.1608; 8495.8365
566.5079; 426.2212; 191.6485; 9429.5112
564.6635; 414.8319; 191.8490; 9378.2468
565.4129; 361.6482; 191.8913; 9390.5585
568.3064; 334.5987; 191.5814; 9468.6310
