NÃO OTIMIZADO; OTIMIZADO; NÃO OTIMIZADO; OTIMIZADO
195.5900; 203.3611; 0; 0
223.5403; 223.8523; 0; 0
222.3497; 222.3601; 0; 0
227.3316; 228.0383; 0; 0
223.7188; 228.5832; 0; 0
226.2138; 215.3189; 0; 0
229.0268; 229.8585; 0; 0
230.5691; 232.0128; 0; 0
223.5428; 229.9782; 0; 0
230.6033; 230.0394; 0; 0
230.2925; 232.4327; 0; 0
227.1817; 231.7462; 0; 0
227.0376; 230.1331; 0; 0
233.9024; 231.8584; 0; 0
234.3353; 233.1972; 0; 0
234.7003; 232.9354; 0; 0
234.6557; 232.9804; 0; 0
234.6437; 232.8876; 0; 0
234.5100; 232.3867; 0; 0
