NÃO OTIMIZADO; OTIMIZADO; NÃO OTIMIZADO; OTIMIZADO
191.1875; 199.2308; 0; 0
185.2072; 212.1961; 0; 0
191.8227; 219.2655; 0; 0
211.9368; 216.0286; 0; 0
222.8122; 225.3578; 0; 0
223.5328; 227.4570; 0; 0
229.1709; 227.9063; 0; 0
227.5343; 228.3645; 0; 0
226.4422; 229.8026; 0; 0
226.0441; 231.4234; 0; 0
231.5495; 225.3496; 0; 0
230.2685; 231.5123; 0; 0
198.2398; 231.0831; 0; 0
232.5415; 231.9588; 0; 0
233.4482; 232.1086; 0; 0
233.7035; 232.8865; 0; 0
233.3202; 233.0135; 0; 0
233.9674; 233.7187; 0; 0
234.0208; 233.3011; 0; 0
