NÃO OTIMIZADO; OTIMIZADO; NÃO OTIMIZADO; OTIMIZADO
105.3412; 106.9803; 0; 0
95.9977; 101.0085; 0; 0
93.7951; 100.5115; 0; 0
97.0319; 99.5381; 0; 0
97.4062; 98.7664; 0; 0
96.9937; 99.6512; 0; 0
98.1044; 99.5918; 0; 0
98.1378; 99.5117; 0; 0
98.3603; 99.5733; 0; 0
98.2890; 99.5681; 0; 0
98.2755; 99.6122; 0; 0
98.3929; 99.5712; 0; 0
94.8610; 99.4452; 7.893215e-06; 0
98.5707; 99.5684; 0; 0
98.6241; 99.5573; 0; 0
98.6760; 99.5614; 0; 0
98.6585; 99.5303; 0; 0
98.6532; 99.5346; 0; 0
98.6553; 99.5014; 0; 0
