NÃO OTIMIZADO; OTIMIZADO; NÃO OTIMIZADO; OTIMIZADO
1.9800; 2.0562; 0.2065; 0.2145
14.3754; 14.4188; 2.2516; 2.2584
28.5139; 29.2443; 4.3775; 4.4896
41.5630; 42.5907; 6.7188; 6.8849
70.3904; 72.8499; 11.5000; 11.9018
86.2440; 89.6987; 14.1582; 14.7253
113.3201; 116.0880; 18.7028; 19.1596
122.6040; 124.9973; 20.1131; 20.5058
122.3326; 125.2561; 20.2359; 20.7195
127.4684; 130.2735; 21.1076; 21.5720
133.5749; 135.9209; 22.1549; 22.5441
133.5630; 138.7224; 22.1773; 23.0338
134.2702; 140.0905; 22.3065; 23.2734
140.9483; 142.2823; 23.4462; 23.6681
140.9648; 142.2600; 23.4501; 23.6656
141.7016; 143.1220; 23.5943; 23.8308
141.7604; 143.1198; 23.6046; 23.8310
141.8918; 143.2627; 23.6335; 23.8618
141.9575; 143.2811; 23.6485; 23.8690
