NÃO OTIMIZADO; OTIMIZADO; NÃO OTIMIZADO; OTIMIZADO
2.3639; 2.4394; 0.5278; 0.5446
26.2565; 33.0399; 15.3516; 19.3177
80.7085; 102.1524; 56.8072; 71.9007
154.3990; 168.7264; 116.7964; 127.6345
392.0583; 411.9925; 326.9384; 343.5616
582.4635; 625.6825; 504.9605; 542.4288
1092.5294; 1118.0572; 996.2934; 1019.5725
1342.1788; 1393.2724; 1246.5595; 1294.0131
1383.2209; 1413.5382; 1286.7624; 1314.9656
1579.8194; 1626.3134; 1485.1374; 1528.8449
1913.5931; 1999.0480; 1826.6854; 1908.2593
2196.9425; 2291.7824; 2118.4591; 2209.9109
1898.3117; 2454.6198; 1840.2158; 2379.5210
2280.2131; 2320.2049; 2238.0013; 2277.2527
2282.2396; 2357.8317; 2240.9684; 2315.1935
2011.0180; 2016.3260; 1992.2850; 1997.5435
1953.7301; 2120.6143; 1935.9547; 2101.3205
2050.5800; 2006.3428; 2037.8185; 1993.8566
2114.4287; 2109.7138; 2104.7799; 2100.0864
