NÃO OTIMIZADO; OTIMIZADO; NÃO OTIMIZADO; OTIMIZADO
922.5272; 1209.8284; 480.5723; 630.2362
2279.1229; 3026.9086; 1840.8815; 2444.8792
3174.4844; 2991.3148; 2778.4112; 2618.0953
3917.6257; 4453.5012; 3523.8878; 4005.9056
4086.3705; 4780.6930; 3819.0490; 4467.9504
4414.2352; 5203.6518; 4187.1159; 4935.9158
5085.1768; 5384.6019; 4916.2568; 5205.7356
4899.3613; 5306.8215; 4769.2175; 5165.8541
4947.2228; 5146.5190; 4818.3922; 5012.4985
4941.4566; 5236.9179; 4831.4505; 5120.3342
4709.9078; 5143.6872; 4631.0613; 5057.5790
4592.8593; 4954.7256; 4532.6867; 4889.8120
3130.4350; 4796.6517; 3095.3786; 4742.9770
3117.2961; 3180.8867; 3096.3219; 3159.4846
3093.1079; 3223.7153; 3072.7827; 3202.5318
2276.3800; 2280.4094; 2268.7096; 2272.7254
2196.2761; 2407.7796; 2189.0487; 2399.8562
2227.0099; 2173.0281; 2222.0045; 2168.1441
2249.1277; 2242.5049; 2245.4241; 2238.8123
